Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Nature],[Observation Status],[Reporting Type],[Units],[Age],[Sex],[Location],[Education level],[Activity],[Freq],[Type of product],[Type of renewable technology],[Mode of transportation],[Name of non-communicable disease],[Type of skill],[Migratory status],[Type of speed],[Quantile],[Level/Status],[Type of occupation]
6.0,6.4,6.4.1,ER_H2O_WUEYST,Water Use Efficiency (United States dollars per cubic meter),218.0,Ecuador,2007.0,43.79,2003-2007,,,,,Food and Agriculture Organisation of United Nations (FAO),,,G,A,G,USD/m3,,,,,INDUSTRIES,,,,,,,,,,,
4.0,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",218.0,Ecuador,2007.0,74.57272,2007.0,,,,,UNESCO Institute for Statistics.  Data extracted on 21 February 2024.,,,C,,G,PERCENT,,BOTHSEX,,PREPRI,,,,,,,,,,,,
6.0,6.4,6.4.1,ER_H2O_WUEYST,Water Use Efficiency (United States dollars per cubic meter),218.0,Ecuador,2007.0,6.55,2003-2007,,,,,Food and Agriculture Organisation of United Nations (FAO),,,G,A,G,USD/m3,,,,,TOTAL,,,,,,,,,,,
6.0,6.4,6.4.1,ER_H2O_WUEYST,Water Use Efficiency (United States dollars per cubic meter),218.0,Ecuador,2007.0,29.27,2003-2007,,,,,Food and Agriculture Organisation of United Nations (FAO),,,G,A,G,USD/m3,,,,,ISIC4_GTT,,,,,,,,,,,
9.0,9.2,9.2.2,SL_TLF_MANF,Manufacturing employment as a proportion of total employment - 13th ICLS (%),218.0,Ecuador,2007.0,11.03,2007.0,,,,,"LFS - National Survey on Employment, Unemployment and Underemployment",,Repository: ILO-STATISTICS - Micro data processing,C,A,G,PERCENT,,,,,ISIC4_C,,,,,,,,,,,
3.0,3.c,3.c.1,SH_MED_DEN,"Health worker density, by type of occupation (per 10,000 population)",218.0,Ecuador,2007.0,9.828,2007.0,,,,,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal. For the specific sources and metadata by country, refer to database directly.",,,C,,G,PER_10000_POP,,,,,,,,,,,,,,,,PHYS
3.0,3.3,3.3.1,SH_HIV_INCD,"Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)",218.0,Ecuador,2007.0,0.01,2007.0,,,,,UNAIDS,,,E,A,G,PER_1000_UNINFECTED_POP,50+,BOTHSEX,,,,,,,,,,,,,,
3.0,3.3,3.3.1,SH_HIV_INCD,"Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)",218.0,Ecuador,2007.0,0.12,2007.0,,,,,UNAIDS,,,E,A,G,PER_1000_UNINFECTED_POP,ALLAGE,FEMALE,,,,,,,,,,,,,,
3.0,3.3,3.3.1,SH_HIV_INCD,"Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)",218.0,Ecuador,2007.0,0.19,2007.0,,,,,UNAIDS,,,E,A,G,PER_1000_UNINFECTED_POP,ALLAGE,MALE,,,,,,,,,,,,,,
3.0,3.3,3.3.1,SH_HIV_INCD,"Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)",218.0,Ecuador,2007.0,0.16,2007.0,,,,,UNAIDS,,,E,A,G,PER_1000_UNINFECTED_POP,ALLAGE,BOTHSEX,,,,,,,,,,,,,,
6.0,6.4,6.4.1,ER_H2O_WUEYST,Water Use Efficiency (United States dollars per cubic meter),218.0,Ecuador,2007.0,0.38,2003-2007,,,,,Food and Agriculture Organisation of United Nations (FAO),,,G,A,G,USD/m3,,,,,ISIC4_A01_A0210_A0322,,,,,,,,,,,
3.0,3.3,3.3.1,SH_HIV_INCD,"Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)",218.0,Ecuador,2007.0,0.27,2007.0,,,,,UNAIDS,,,E,A,G,PER_1000_UNINFECTED_POP,15-24,FEMALE,,,,,,,,,,,,,,
3.0,3.3,3.3.1,SH_HIV_INCD,"Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)",218.0,Ecuador,2007.0,0.38,2007.0,,,,,UNAIDS,,,E,A,G,PER_1000_UNINFECTED_POP,15-24,MALE,,,,,,,,,,,,,,
3.0,3.3,3.3.1,SH_HIV_INCD,"Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)",218.0,Ecuador,2007.0,0.32,2007.0,,,,,UNAIDS,,,E,A,G,PER_1000_UNINFECTED_POP,15-24,BOTHSEX,,,,,,,,,,,,,,
2.0,2.2,2.2.1,SH_STA_STNTN,Children moderately or severely stunted (thousands),218.0,Ecuador,2007.0,439.5,2007.0,,465.8,414.1,,"Source: Joint Child Malnutrition Estimates (2023 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,,M,A,G,NUM_TH,<5Y,,,,,,,,,,,,,,,
8.0,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",218.0,Ecuador,2007.0,25.51,2007.0,,,,,"LFS - National Survey on Employment, Unemployment and Underemployment",,Repository: ILO-STATISTICS - Micro data processing,C,A,G,PERCENT,15-24,FEMALE,,,,,,,,,,,,,,
8.0,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",218.0,Ecuador,2007.0,16.37,2007.0,,,,,"LFS - National Survey on Employment, Unemployment and Underemployment",,Repository: ILO-STATISTICS - Micro data processing,C,A,G,PERCENT,15-24,BOTHSEX,,,,,,,,,,,,,,
8.0,8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age - 13th ICLS (%)",218.0,Ecuador,2007.0,3.9,2007.0,,,,,"LFS - National Survey on Employment, Unemployment and Underemployment",,Repository: ILO-STATISTICS - Micro data processing,C,A,G,PERCENT,15+,FEMALE,,,,,,,,,,,,,,
7.0,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",218.0,Ecuador,2007.0,96.8,2007.0,,,,,World Bank,,,C,,G,PERCENT,,,ALLAREA,,,,,,,,,,,,,
3.0,3.2,3.2.1,SH_DYN_IMRT,"Infant mortality rate (deaths per 1,000 live births)",218.0,Ecuador,2007.0,15.9,2007.0,,,,,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2024.",,,E,,G,PER_1000_LIVE_BIRTHS,<1Y,FEMALE,,,,,,,,,,,,,,
3.0,3.2,3.2.1,SH_DYN_IMRT,"Infant mortality rate (deaths per 1,000 live births)",218.0,Ecuador,2007.0,18.4,2007.0,,,,,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2024.",,,E,,G,PER_1000_LIVE_BIRTHS,<1Y,BOTHSEX,,,,,,,,,,,,,,
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",218.0,Ecuador,2007.0,3.22,2007.0,,,,,World Health Organization Mortality Database,,,C,,G,PER_100000_POP,,FEMALE,,,,,,,,,,,,,,
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",218.0,Ecuador,2007.0,28.65,2007.0,,,,,World Health Organization Mortality Database,,,C,,G,PER_100000_POP,,MALE,,,,,,,,,,,,,,
16.0,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",218.0,Ecuador,2007.0,15.95,2007.0,,,,,Organization of American States (OAS),,,C,,G,PER_100000_POP,,BOTHSEX,,,,,,,,,,,,,,
8.0,8.1,8.10.1,FB_ATM_TOTL,"Number of automated teller machines (ATMs) per 100,000 adults",218.0,Ecuador,2007.0,35.0095232755707,2007.0,,,,,IMF,,,C,A,G,PER_100000_POP,15+,,,,,,,,,,,,,,,
2.0,2.a,2.a.1,AG_PRD_AGVAS,Agriculture value added share of GDP (%),218.0,Ecuador,2007.0,9.36,2007.0,,,,,UNSD national account estimates,,UNSD national account estimates,C,A,G,PERCENT,,,,,,,,,,,,,,,,
6.0,6.6,6.6.1,EN_LKRV_PWAP,Lakes and rivers permanent water area (% of total land area),218.0,Ecuador,2007.0,0.00603,2002-2006,,,,,Global Surface Water Explorer extraction for UN Environment Programme,,,E,A,G,PERCENT,,,,,,,,,,,,,,,,
3.0,3.2,3.2.1,SH_DYN_MORTN,Under-five deaths (number),218.0,Ecuador,2007.0,6918.0,2007.0,,,,,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2024.",,,E,,G,NUMBER,<5Y,BOTHSEX,,,,,,,,,,,,,,
4.0,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",218.0,Ecuador,2007.0,76.82597,2007.0,,,,,UNESCO Institute for Statistics.  Data extracted on 21 February 2024.,,,C,,G,PERCENT,,FEMALE,,LOWSEC,,,,,,,,,,,,
4.0,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",218.0,Ecuador,2007.0,70.61015,2007.0,,,,,UNESCO Institute for Statistics.  Data extracted on 21 February 2024.,,,C,,G,PERCENT,,BOTHSEX,,LOWSEC,,,,,,,,,,,,
4.0,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",218.0,Ecuador,2007.0,70.52269,2007.0,,,,,UNESCO Institute for Statistics.  Data extracted on 21 February 2024.,,,C,,G,PERCENT,,BOTHSEX,,SECOND,,,,,,,,,,,,
4.0,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",218.0,Ecuador,2007.0,76.59754,2007.0,,,,,UNESCO Institute for Statistics.  Data extracted on 21 February 2024.,,,C,,G,PERCENT,,FEMALE,,UPPSEC,,,,,,,,,,,,
2.0,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),218.0,Ecuador,2007.0,28.1,2007.0,,29.8,26.5,,"Source: Joint Child Malnutrition Estimates (2023 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,,M,A,G,PER_POP_U5,<5Y,,,,,,,,,,,,,,,
10.0,10.5,10.5.1,FI_FSI_FSKA,Regulatory capital to assets (%),218.0,Ecuador,2007.0,11.7860758383678,2007.0,,,,,IMF,,,C,A,G,PERCENT,,,,,,,,,,,,,,,,
6.0,6.2,6.2.1,SH_SAN_SAFE,"Proportion of population using safely managed sanitation services, by urban/rural (%)",218.0,Ecuador,2007.0,48.13343,2007.0,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",,,E,,G,PERCENT,,,RURAL,,,,,,,,,,,,,
6.0,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),218.0,Ecuador,2007.0,6.78,2003-2007,,,,,Food and Agriculture Organisation of United Nations (FAO),,,G,A,G,PERCENT,,,,,TOTAL,,,,,,,,,,,
6.0,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),218.0,Ecuador,2007.0,0.38,2003-2007,,,,,Food and Agriculture Organisation of United Nations (FAO),,,G,A,G,PERCENT,,,,,INDUSTRIES,,,,,,,,,,,
9.0,9.4,9.4.1,EN_ATM_CO2GDP,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),218.0,Ecuador,2007.0,0.185,2007.0,,,,2017.0,"IEA (2023), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,E,,G,KG_PER_CON_USD,,,,,,,,,,,,,,,,
7.0,7.a,7.a.1,EG_IFF_RANDN,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2021 United States dollars)",218.0,Ecuador,2007.0,0.0,2007.0,,,,2021.0,"DAC Statistics database, 2024, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2024, The international Renewable Energy Agency (IRENA)",,"Commitments by recipient country, in million USD at 2021 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.",E,,G,CON_USD_M,,,,,,,,WIND,,,,,,,,
7.0,7.a,7.a.1,EG_IFF_RANDN,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2021 United States dollars)",218.0,Ecuador,2007.0,0.0,2007.0,,,,2021.0,"DAC Statistics database, 2024, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2024, The international Renewable Energy Agency (IRENA)",,"Commitments by recipient country, in million USD at 2021 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.",E,,G,CON_USD_M,,,,,,,,ALL,,,,,,,,
7.0,7.a,7.a.1,EG_IFF_RANDN,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2021 United States dollars)",218.0,Ecuador,2007.0,0.0,2007.0,,,,2021.0,"DAC Statistics database, 2024, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2024, The international Renewable Energy Agency (IRENA)",,"Commitments by recipient country, in million USD at 2021 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.",E,,G,CON_USD_M,,,,,,,,MULTIPLE,,,,,,,,
8.0,8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age - 13th ICLS (%)",218.0,Ecuador,2007.0,3.14,2007.0,,,,,"LFS - National Survey on Employment, Unemployment and Underemployment",,Repository: ILO-STATISTICS - Micro data processing,C,A,G,PERCENT,15+,BOTHSEX,,,,,,,,,,,,,,
8.0,8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age - 13th ICLS (%)",218.0,Ecuador,2007.0,7.14,2007.0,,,,,"LFS - National Survey on Employment, Unemployment and Underemployment",,Repository: ILO-STATISTICS - Micro data processing,C,A,G,PERCENT,15-24,BOTHSEX,,,,,,,,,,,,,,
8.0,8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age - 13th ICLS (%)",218.0,Ecuador,2007.0,2.1,2007.0,,,,,"LFS - National Survey on Employment, Unemployment and Underemployment",,Repository: ILO-STATISTICS - Micro data processing,C,A,G,PERCENT,25+,BOTHSEX,,,,,,,,,,,,,,
8.0,8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age - 13th ICLS (%)",218.0,Ecuador,2007.0,8.03,2007.0,,,,,"LFS - National Survey on Employment, Unemployment and Underemployment",,Repository: ILO-STATISTICS - Micro data processing,C,A,G,PERCENT,15-24,FEMALE,,,,,,,,,,,,,,
6.0,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),218.0,Ecuador,2007.0,5.52,2003-2007,,,,,Food and Agriculture Organisation of United Nations (FAO),,,G,A,G,PERCENT,,,,,ISIC4_A01_A0210_A0322,,,,,,,,,,,
6.0,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),218.0,Ecuador,2007.0,0.88,2003-2007,,,,,Food and Agriculture Organisation of United Nations (FAO),,,G,A,G,PERCENT,,,,,ISIC4_GTT,,,,,,,,,,,
3.0,3.2,3.2.1,SH_DYN_IMRT,"Infant mortality rate (deaths per 1,000 live births)",218.0,Ecuador,2007.0,20.7,2007.0,,,,,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2024.",,,E,,G,PER_1000_LIVE_BIRTHS,<1Y,MALE,,,,,,,,,,,,,,
2.0,2.a,2.a.1,AG_PRD_ORTIND,Agriculture orientation index for government expenditures,218.0,Ecuador,2007.0,0.11,2007.0,,,,,Data from the United Nations Economic Commission for Latin Americ and the Caribbean (ECLAC/CEPAL). UNSD national accounts estimates.,,Budgetary Central Government Expenditure,C,A,G,INDEX,,,,,,,,,,,,,,,,
17.0,17.3,17.3.1,GF_FRN_FDI,Foreign direct investment (FDI) inflows (millions of United States dollars),218.0,Ecuador,2007.0,193.87253,2007.0,,,,,"UNCTAD, FDI/MNE database (www.unctad.org/fdistatistics).",,,C,,G,CU_USD_M,,,,,,,,,,,,,,,,
7.0,7.a,7.a.1,EG_IFF_RANDN,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2021 United States dollars)",218.0,Ecuador,2007.0,0.0,2007.0,,,,2021.0,"DAC Statistics database, 2024, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2024, The international Renewable Energy Agency (IRENA)",,"Commitments by recipient country, in million USD at 2021 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.",E,,G,CON_USD_M,,,,,,,,SOLAR,,,,,,,,
7.0,7.a,7.a.1,EG_IFF_RANDN,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2021 United States dollars)",218.0,Ecuador,2007.0,0.0,2007.0,,,,2021.0,"DAC Statistics database, 2024, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2024, The international Renewable Energy Agency (IRENA)",,"Commitments by recipient country, in million USD at 2021 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.",E,,G,CON_USD_M,,,,,,,,MARINE,,,,,,,,
7.0,7.a,7.a.1,EG_IFF_RANDN,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2021 United States dollars)",218.0,Ecuador,2007.0,0.0,2007.0,,,,2021.0,"DAC Statistics database, 2024, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2024, The international Renewable Energy Agency (IRENA)",,"Commitments by recipient country, in million USD at 2021 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.",E,,G,CON_USD_M,,,,,,,,HYDROPOWER,,,,,,,,
3.0,3.3,3.3.1,SH_HIV_INCD,"Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)",218.0,Ecuador,2007.0,0.02,2007.0,,,,,UNAIDS,,,E,A,G,PER_1000_UNINFECTED_POP,50+,MALE,,,,,,,,,,,,,,
15.0,15.1,15.1.2,ER_PTD_TERR,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),218.0,Ecuador,2007.0,20.90287,2007.0,,21.21398,20.48926,,"BirdLife International, IUCN and UNEP-WCMC (2021). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",,,C,A,G,PERCENT,,,,,,,,,,,,,,,,
3.0,3.3,3.3.1,SH_HIV_INCD,"Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)",218.0,Ecuador,2007.0,0.33,2007.0,,,,,UNAIDS,,,E,A,G,PER_1000_UNINFECTED_POP,15-49,MALE,,,,,,,,,,,,,,
3.0,3.3,3.3.1,SH_HIV_INCD,"Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)",218.0,Ecuador,2007.0,0.01,2007.0,,,,,UNAIDS,,,E,A,G,PER_1000_UNINFECTED_POP,50+,FEMALE,,,,,,,,,,,,,,
4.0,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",218.0,Ecuador,2007.0,76.43091,2007.0,,,,,UNESCO Institute for Statistics.  Data extracted on 21 February 2024.,,,C,,G,PERCENT,,FEMALE,,PREPRI,,,,,,,,,,,,
4.0,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",218.0,Ecuador,2007.0,64.4507,2007.0,,,,,UNESCO Institute for Statistics.  Data extracted on 21 February 2024.,,,C,,G,PERCENT,,MALE,,LOWSEC,,,,,,,,,,,,
4.0,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",218.0,Ecuador,2007.0,76.72823,2007.0,,,,,UNESCO Institute for Statistics.  Data extracted on 21 February 2024.,,,C,,G,PERCENT,,FEMALE,,SECOND,,,,,,,,,,,,
4.0,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",218.0,Ecuador,2007.0,71.89035,2007.0,,,,,UNESCO Institute for Statistics.  Data extracted on 21 February 2024.,,,C,,G,PERCENT,,FEMALE,,PRIMAR,,,,,,,,,,,,
4.0,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",218.0,Ecuador,2007.0,71.07237,2007.0,,,,,UNESCO Institute for Statistics.  Data extracted on 21 February 2024.,,,C,,G,PERCENT,,MALE,,PRIMAR,,,,,,,,,,,,
4.0,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",218.0,Ecuador,2007.0,71.64531,2007.0,,,,,UNESCO Institute for Statistics.  Data extracted on 21 February 2024.,,,C,,G,PERCENT,,BOTHSEX,,PRIMAR,,,,,,,,,,,,
7.0,7.a,7.a.1,EG_IFF_RANDN,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2021 United States dollars)",218.0,Ecuador,2007.0,0.0,2007.0,,,,2021.0,"DAC Statistics database, 2024, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2024, The international Renewable Energy Agency (IRENA)",,"Commitments by recipient country, in million USD at 2021 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.",E,,G,CON_USD_M,,,,,,,,BIOENERGY,,,,,,,,
7.0,7.a,7.a.1,EG_IFF_RANDN,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2021 United States dollars)",218.0,Ecuador,2007.0,0.0,2007.0,,,,2021.0,"DAC Statistics database, 2024, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2024, The international Renewable Energy Agency (IRENA)",,"Commitments by recipient country, in million USD at 2021 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.",E,,G,CON_USD_M,,,,,,,,GEOTHERMAL,,,,,,,,
4.0,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",218.0,Ecuador,2007.0,94.88586,2007.0,,,,,UNESCO Institute for Statistics.  Data extracted on 21 February 2024.,,,C,,G,PERCENT,,BOTHSEX,,,,,,,,,,,,,,
2.0,2.2,2.2.2,SN_STA_OVWGTN,Children moderately or severely overweight (thousands),218.0,Ecuador,2007.0,85.0,2007.0,,98.5,73.2,,"Source: Joint Child Malnutrition Estimates (2023 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,,M,A,G,NUM_TH,<5Y,,,,,,,,,,,,,,,
6.0,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2022 United States dollars)",218.0,Ecuador,2007.0,19.37594,2007.0,,,,2022.0,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements: Based on OECD, CRS databased, 2024: Constant 2022 USD million",C,,G,CON_USD_M,,,,,,,,,,,,,,,,
17.0,17.3,17.3.2,BX_TRF_PWKR,Volume of remittances (in United States dollars) as a proportion of total GDP (%),218.0,Ecuador,2007.0,6.55064,2007.0,,,,,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,,G,,G,PERCENT,,,,,,,,,,,,,,,,
4.0,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",218.0,Ecuador,2007.0,64.37551,2007.0,,,,,UNESCO Institute for Statistics.  Data extracted on 21 February 2024.,,,C,,G,PERCENT,,MALE,,SECOND,,,,,,,,,,,,
4.0,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",218.0,Ecuador,2007.0,62.09062,2007.0,,,,,UNESCO Institute for Statistics.  Data extracted on 21 February 2024.,,,C,,G,PERCENT,,MALE,,PREPRI,,,,,,,,,,,,
1.0,1.1,1.1.1,SI_POV_EMP1,"Employed population below international poverty line, by sex and age (%)",218.0,Ecuador,2007.0,6.5,2007.0,,,,,"ILO modelled estimates, Nov. 2023",,,M,A,G,PERCENT,25+,FEMALE,,,,,,,,,,,,,,
1.0,1.1,1.1.1,SI_POV_EMP1,"Employed population below international poverty line, by sex and age (%)",218.0,Ecuador,2007.0,7.89,2007.0,,,,,"ILO modelled estimates, Nov. 2023",,,M,A,G,PERCENT,15+,MALE,,,,,,,,,,,,,,
1.0,1.1,1.1.1,SI_POV_EMP1,"Employed population below international poverty line, by sex and age (%)",218.0,Ecuador,2007.0,7.23,2007.0,,,,,"ILO modelled estimates, Nov. 2023",,,M,A,G,PERCENT,15+,FEMALE,,,,,,,,,,,,,,
3.0,3.2,3.2.1,SH_DYN_MORT,"Under-five mortality rate, by sex (deaths per 1,000 live births)",218.0,Ecuador,2007.0,21.6,2007.0,,,,,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2024.",,,E,,G,PER_1000_LIVE_BIRTHS,<5Y,BOTHSEX,,,,,,,,,,,,,,
7.0,7.1,7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),218.0,Ecuador,2007.0,82.2,2007.0,,94.7025,63.7975,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,E,,G,PERCENT,,,RURAL,,,,,,,,,,,,,
3.0,3.b,3.b.2,DC_TOF_HLTHL,"Total official development assistance to medical research and basic health sectors, gross disbursement, by recipient countries (millions of constant 2022 United States dollars)",218.0,Ecuador,2007.0,24.77624,2007.0,,,,2022.0,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements; Based on OECD, CRS databased, 2024; Constant 2022 USD million",C,,G,CON_USD_M,,,,,,,,,,,,,,,,
17.0,17.9,17.9.1,DC_FTA_TOTAL,Total official development assistance (gross disbursement) for technical cooperation (millions of 2022 United States dollars),218.0,Ecuador,2007.0,42.04851,2007.0,,,,2022.0,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements; Based on OECD, CRS databased, 2024; Constant 2022 USD million",C,,G,CON_USD_M,,,,,,,,,,,,,,,,
9.0,9.3,9.3.1,NV_IND_SSIS,Proportion of small-scale manufacturing industries in total manufacturing value added (%),218.0,Ecuador,2007.0,0.86,2007.0,,,,,"Encuesta Anual de Manufactura y Minería, Instituto Nacional de Estadística y Censos",,Value added in basic prices,C,A,G,PERCENT,,,,,ISIC3_D,,,,,,,,,,,
10.0,10.b,10.b.1,DC_TRF_TOTL,"Total assistance for development, by recipient countries (millions of current United States dollars)",218.0,Ecuador,2007.0,847.995,2007.0,,,,,The Organisation for Economic Co-operation and Development (OECD).,,"Net Disbursements; Based on OECD, DAC database, 2024; Current USD million",C,,G,CU_USD_M,,,,,,,,,,,,,,,,
3.0,3.7,3.7.2,SP_DYN_ADKL,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",218.0,Ecuador,2007.0,2.53,2007.0,,,,,Registration National Statistics & WPP2022,,,CA,,G,PER_1000_POP,10-14,FEMALE,,,,,,,,,,,,,,
